# vtk DataFile Version 2.0
field data: pressure, temperature
ASCII
DATASET STRUCTURED_POINT
DIMENSIONS          100         100
ORIGIN      0.4950E-02      0.4950E-02
SPACING      0.9901E-02      0.9901E-02
     0.1377E+06,      0.2827E+00
     0.1377E+06,      0.2726E+00
     0.1377E+06,      0.2625E+00
     0.1377E+06,      0.2524E+00
     0.1377E+06,      0.2423E+00
     0.1377E+06,      0.2322E+00
     0.1377E+06,      0.2221E+00
     0.1377E+06,      0.2120E+00
     0.1377E+06,      0.2020E+00
     0.1377E+06,      0.1919E+00
     0.1377E+06,      0.1818E+00
     0.1377E+06,      0.1717E+00
     0.1377E+06,      0.1616E+00
     0.1377E+06,      0.1515E+00
     0.1377E+06,      0.1414E+00
     0.1377E+06,      0.1313E+00
     0.1377E+06,      0.1212E+00
     0.1377E+06,      0.1111E+00
     0.1377E+06,      0.1010E+00
     0.1377E+06,      0.9088E-01
     0.1377E+06,      0.8078E-01
     0.1377E+06,      0.7069E-01
     0.1377E+06,      0.6059E-01
     0.1377E+06,      0.5049E-01
     0.1377E+06,      0.4039E-01
     0.1377E+06,      0.3029E-01
     0.1377E+06,      0.2020E-01
     0.1377E+06,      0.1010E-01
     0.1377E+06,      0.1020E-05
     0.1362E+06,      0.1000E+01
     0.1362E+06,      0.9899E+00
     0.1362E+06,      0.9798E+00
     0.1362E+06,      0.9697E+00
     0.1362E+06,      0.9596E+00
     0.1362E+06,      0.9495E+00
     0.1362E+06,      0.9393E+00
     0.1362E+06,      0.9292E+00
     0.1362E+06,      0.9191E+00
     0.1362E+06,      0.9090E+00
     0.1362E+06,      0.8989E+00
     0.1362E+06,      0.8888E+00
     0.1362E+06,      0.8787E+00
     0.1362E+06,      0.8686E+00
     0.1362E+06,      0.8585E+00
     0.1362E+06,      0.8484E+00
     0.1362E+06,      0.8382E+00
     0.1362E+06,      0.8281E+00
     0.1362E+06,      0.8180E+00
     0.1362E+06,      0.8079E+00
     0.1362E+06,      0.7978E+00
     0.1362E+06,      0.7877E+00
     0.1362E+06,      0.7776E+00
     0.1362E+06,      0.7675E+00
     0.1362E+06,      0.7574E+00
     0.1362E+06,      0.7473E+00
     0.1362E+06,      0.7372E+00
     0.1362E+06,      0.7271E+00
     0.1362E+06,      0.7169E+00
     0.1362E+06,      0.7068E+00
     0.1362E+06,      0.6967E+00
     0.1362E+06,      0.6866E+00
     0.1362E+06,      0.6765E+00
     0.1362E+06,      0.6664E+00
     0.1362E+06,      0.6563E+00
     0.1362E+06,      0.6462E+00
     0.1362E+06,      0.6361E+00
     0.1362E+06,      0.6260E+00
     0.1362E+06,      0.6159E+00
     0.1362E+06,      0.6058E+00
     0.1362E+06,      0.5957E+00
     0.1362E+06,      0.5856E+00
     0.1362E+06,      0.5755E+00
     0.1362E+06,      0.5654E+00
     0.1362E+06,      0.5553E+00
     0.1362E+06,      0.5452E+00
     0.1362E+06,      0.5351E+00
     0.1362E+06,      0.5250E+00
     0.1362E+06,      0.5149E+00
     0.1362E+06,      0.5048E+00
     0.1362E+06,      0.4947E+00
     0.1362E+06,      0.4846E+00
     0.1362E+06,      0.4745E+00
     0.1362E+06,      0.4644E+00
     0.1362E+06,      0.4543E+00
     0.1362E+06,      0.4442E+00
     0.1362E+06,      0.4341E+00
     0.1362E+06,      0.4240E+00
     0.1362E+06,      0.4139E+00
     0.1362E+06,      0.4038E+00
     0.1362E+06,      0.3937E+00
     0.1363E+06,      0.3836E+00
     0.1363E+06,      0.3735E+00
     0.1363E+06,      0.3634E+00
     0.1363E+06,      0.3534E+00
     0.1363E+06,      0.3433E+00
     0.1363E+06,      0.3332E+00
     0.1363E+06,      0.3231E+00
     0.1363E+06,      0.3130E+00
     0.1363E+06,      0.3029E+00
     0.1363E+06,      0.2928E+00
     0.1363E+06,      0.2827E+00
     0.1363E+06,      0.2726E+00
     0.1363E+06,      0.2625E+00
     0.1363E+06,      0.2524E+00
     0.1363E+06,      0.2423E+00
     0.1363E+06,      0.2322E+00
     0.1363E+06,      0.2221E+00
     0.1363E+06,      0.2120E+00
     0.1363E+06,      0.2019E+00
     0.1363E+06,      0.1918E+00
     0.1363E+06,      0.1817E+00
     0.1363E+06,      0.1716E+00
     0.1363E+06,      0.1615E+00
     0.1363E+06,      0.1514E+00
     0.1363E+06,      0.1413E+00
     0.1363E+06,      0.1313E+00
     0.1363E+06,      0.1212E+00
     0.1363E+06,      0.1111E+00
     0.1363E+06,      0.1010E+00
     0.1363E+06,      0.9087E-01
     0.1363E+06,      0.8077E-01
     0.1363E+06,      0.7068E-01
     0.1363E+06,      0.6058E-01
     0.1363E+06,      0.5048E-01
     0.1363E+06,      0.4039E-01
     0.1363E+06,      0.3029E-01
     0.1363E+06,      0.2019E-01
     0.1363E+06,      0.1010E-01
     0.1363E+06,      0.1020E-05
     0.1348E+06,      0.1000E+01
     0.1348E+06,      0.9899E+00
     0.1348E+06,      0.9798E+00
     0.1348E+06,      0.9697E+00
     0.1348E+06,      0.9596E+00
     0.1348E+06,      0.9494E+00
     0.1348E+06,      0.9393E+00
     0.1348E+06,      0.9292E+00
     0.1348E+06,      0.9191E+00
     0.1348E+06,      0.9090E+00
     0.1348E+06,      0.8989E+00
     0.1348E+06,      0.8888E+00
     0.1348E+06,      0.8787E+00
     0.1348E+06,      0.8686E+00
     0.1348E+06,      0.8584E+00
     0.1348E+06,      0.8483E+00
     0.1348E+06,      0.8382E+00
     0.1348E+06,      0.8281E+00
     0.1348E+06,      0.8180E+00
     0.1348E+06,      0.8079E+00
     0.1348E+06,      0.7978E+00
     0.1348E+06,      0.7877E+00
     0.1348E+06,      0.7776E+00
     0.1348E+06,      0.7675E+00
     0.1348E+06,      0.7573E+00
     0.1348E+06,      0.7472E+00
     0.1348E+06,      0.7371E+00
     0.1348E+06,      0.7270E+00
     0.1348E+06,      0.7169E+00
     0.1348E+06,      0.7068E+00
